Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
2013/09/09,22:00:00,0,0.8358023800000001,13.6,0.246
2013/09/09,23:00:00,0,0.8333055800000011,13.6,0.246
2013/09/10,00:00:00,0,0.8313014380000004,13.6,0.246
2013/09/10,01:00:00,0,0.8341638979999993,13.6,0.246
2013/09/10,02:00:00,0,0.8318879579999987,13.6,0.246
2013/09/10,03:00:00,0,0.8317969999999991,13.6,0.247
2013/09/10,04:00:00,0,0.8320585779999999,13.6,0.247
2013/09/10,05:00:00,0,0.8328300800000011,13.6,0.247
2013/09/10,06:00:00,0,0.8322923999999989,13.6,0.247
2013/09/10,07:00:00,0,0.8310362000000009,13.7,0.247
2013/09/10,08:00:00,0,0.8310064,13.7,0.248
2013/09/10,09:00:00,0,0.8303052000000002,13.6,0.247
2013/09/10,10:00:00,0,0.8268304000000012,13.6,0.247
2013/09/10,11:00:00,0,0.8296479999999985,13.7,0.248
2013/09/10,12:00:00,0,0.8310206000000006,13.9,0.249
2013/09/10,13:00:00,0,0.8306558000000007,13.9,0.249
2013/09/10,14:00:00,0,0.8296788219999996,13.7,0.249
2013/09/10,15:00:00,0,0.8301305999999999,13.9,0.249
2013/09/10,16:00:00,0,0.8280283999999994,14.0,0.25
2013/09/10,17:00:00,0,0.8284514000000002,13.9,0.249
2013/09/10,18:00:00,0,0.8309184000000005,13.8,0.25
2013/09/10,19:00:00,0,0.8276480000000004,13.8,0.25
2013/09/10,20:00:00,0,0.8267423999999983,13.8,0.25
2013/09/10,21:00:00,0,0.8292676000000005,13.9,0.251
2013/09/10,22:00:00,0,0.830289600000001,13.9,0.251
2013/09/10,23:00:00,0,0.8276181999999994,13.9,0.251
2013/09/11,00:00:00,0,0.8283776,14.0,0.252
2013/09/11,01:00:00,0,0.8244215999999994,14.0,0.252
2013/09/11,02:00:00,0,0.8277942000000007,14.1,0.252
2013/09/11,03:00:00,0,0.826801999999999,14.0,0.251
2013/09/11,04:00:00,0,0.8264953999999989,14.0,0.25
2013/09/11,05:00:00,0,0.8294294000000002,13.9,0.25
2013/09/11,06:00:00,0,0.8261590000000012,13.8,0.249
2013/09/11,07:00:00,0,0.8253116,13.8,0.249
2013/09/11,08:00:00,0,0.8266104000000019,13.7,0.248
2013/09/11,09:00:00,0,0.8275004000000012,13.7,0.248
2013/09/11,10:00:00,0,0.8196608000000015,13.6,0.247
2013/09/11,11:00:00,0,0.8224343999999997,13.7,0.246
2013/09/11,12:00:00,0,0.8259091999999987,13.7,0.246
2013/09/11,13:00:00,0,0.8249752000000012,13.7,0.246
2013/09/11,14:00:00,0,0.823632399999999,13.7,0.245
2013/09/11,15:00:00,0,0.8245522000000005,13.6,0.245
2013/09/11,16:00:00,0,0.8251654000000008,13.7,0.245
2013/09/11,17:00:00,0,0.823223599999999,13.7,0.245
2013/09/11,18:00:00,0,0.8224641999999994,13.7,0.245
2013/09/11,19:00:00,0,0.8220398,13.7,0.245
2013/09/11,20:00:00,0,0.8196011999999996,13.7,0.245
2013/09/11,21:00:00,0,0.8210901999999988,13.7,0.245
2013/09/11,22:00:00,0,0.8166529999999989,13.7,0.245
